[LOG] System::create                           :         Header version = 2.02.04. Current version = 2.02.04.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48d8da8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48c5cd8
[LOG] SystemI::createSound                     :         filename = ../PizzaGame/Build/Desktop/Collisions.bank : mode 02010082
[LOG] SystemI::createSound                     :         FMOD_NONBLOCKING specified.  Putting into queue to be opened asynchronously!
[LOG] SystemI::createSound                     :         setdata soundi = 0x7f7fed38d2a8 : node = 0x7f7fed393e00
[LOG] SystemI::createSound                     :         add node to async list : head = 0x7f7ff40bab38.  list count = 172
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48c5cd8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48c70b8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48c70b8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48c7aa8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48c7aa8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48df9e8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48df9e8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48d14a8
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fed0a5278)
[LOG] SoundI::release                          :             videoplayback-2.2Traffic Sound (0x7f7fed1f5548)
[LOG] SoundI::release                          :             videoplayback-2.2Traffic Sound (0x7f7fed16fce8)
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48d14a8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48ff608
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48ff608
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48b4658
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48b4658
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48ca9b8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48ca9b8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48cb3a8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48cb3a8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff488bec8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff488bec8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48c9998
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48c9998
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe60342e8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe60342e8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe6034ad8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe6034ad8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48c9b38
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48c9b38
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe6032f08
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe6032f08
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe71325f8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe71325f8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe7132de8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe7132de8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe7131a18
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe7131a18
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fed042838
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Ambience.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 13960736
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 39648
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7fe60341b0
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='Guitar 5', format=5, channels=1, frequency=48000, lengthbytes=261664, lengthpcm=1840269, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.957259.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fed042838
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fed0b4688
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Ambience.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 13960736
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 39648
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7fe60334d0
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='Piano 3', format=5, channels=1, frequency=48000, lengthbytes=99808, lengthpcm=1152000, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.988500.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fed0b4688
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fed03d9d8
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Ambience.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 13960736
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 39648
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7fed061530
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='Drums 4', format=5, channels=1, frequency=48000, lengthbytes=93920, lengthpcm=733091, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.858117.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fed03d9d8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fed0bbff8
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Music.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 2824448
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 17696
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7fed0f1510
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='dancingloop', format=5, channels=2, frequency=48000, lengthbytes=336640, lengthpcm=1152000, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.767151.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fed0bbff8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe353f5a8
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Music.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 2824448
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 17696
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7fe354e1b0
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='dancingloop', format=5, channels=2, frequency=48000, lengthbytes=336640, lengthpcm=1152000, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.767151.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe353f5a8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe677aa08
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Music.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 2824448
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 17696
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7fe677c750
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='dancingloop', format=5, channels=2, frequency=48000, lengthbytes=336640, lengthpcm=1152000, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.767151.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe677aa08
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fed383dd8
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Music.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 2824448
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 17696
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7fed3845d0
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='dancingloop', format=5, channels=2, frequency=48000, lengthbytes=336640, lengthpcm=1152000, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.767151.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fed383dd8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fed3e5608
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Music.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 2824448
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 17696
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7fed341750
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='dancingloop', format=5, channels=2, frequency=48000, lengthbytes=336640, lengthpcm=1152000, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.767151.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fed3e5608
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fed36ae58
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Music.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 2824448
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 17696
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7fed356660
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='dancingloop', format=5, channels=2, frequency=48000, lengthbytes=336640, lengthpcm=1152000, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.767151.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fed36ae58
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fed3f8e68
[LOG] SystemI::createSoundInternal             :         Create name='../PizzaGame/Build/Desktop/Ambience.bank', mode=0x02010082
[LOG] SystemI::createSoundInternal             :         exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             :         exinfo->length             = 13960736
[LOG] SystemI::createSoundInternal             :         exinfo->fileoffset         = 39648
[LOG] SystemI::createSoundInternal             :         exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlist      = 0x7f7fed3567a0
[LOG] SystemI::createSoundInternal             :         exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             :         exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             :         exinfo->initialseekpostype = 1
[LOG] SystemI::createSoundInternal             :         Stream 0/1: name='Untitled_1#01 merged', format=5, channels=1, frequency=48000, lengthbytes=807008, lengthpcm=4431541, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.048603.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fed3f8e68
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe712fd38
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe712fd38
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7febfbae98
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7febfbae98
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff40fd968
[WRN] SoundSourceInstrumentInstance::startChannelIfReady :         Loading delay exceeded, sound may play at incorrect time
[WRN] SoundSourceInstrumentInstance::startChannelIfReady :         Loading delay exceeded, sound may play at incorrect time
[WRN] SoundSourceInstrumentInstance::startChannelIfReady :         Loading delay exceeded, sound may play at incorrect time
[WRN] SoundSourceInstrumentInstance::startChannelIfReady :         Loading delay exceeded, sound may play at incorrect time
[WRN] SoundSourceInstrumentInstance::startChannelIfReady :         Loading delay exceeded, sound may play at incorrect time
[WRN] SoundSourceInstrumentInstance::startChannelIfReady :         Loading delay exceeded, sound may play at incorrect time
[WRN] SoundSourceInstrumentInstance::startChannelIfReady :         Loading delay exceeded, sound may play at incorrect time
[WRN] SoundSourceInstrumentInstance::startChannelIfReady :         Loading delay exceeded, sound may play at incorrect time
[WRN] SoundSourceInstrumentInstance::startChannelIfReady :         Loading delay exceeded, sound may play at incorrect time
[WRN] SoundSourceInstrumentInstance::startChannelIfReady :         Loading delay exceeded, sound may play at incorrect time
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff40fd968
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe712ed58
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe712ed58
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe712f608
[WRN] DSPJobList::addJob                       :         DSP JobList expanding job from 1024 entries to 2048 entries.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe712f608
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe712d628
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe712d628
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe712e018
